"userid","dbid","toplevel","queryid","query","plans","total_plan_time","min_plan_time","max_plan_time","mean_plan_time","stddev_plan_time","calls","total_exec_time","min_exec_time","max_exec_time","mean_exec_time","stddev_exec_time","rows","shared_blks_hit","shared_blks_read","shared_blks_dirtied","shared_blks_written","local_blks_hit","local_blks_read","local_blks_dirtied","local_blks_written","temp_blks_read","temp_blks_written","blk_read_time","blk_write_time","temp_blk_read_time","temp_blk_write_time","wal_records","wal_fpi","wal_bytes","jit_functions","jit_generation_time","jit_inlining_count","jit_inlining_time","jit_optimization_count","jit_optimization_time","jit_emission_count","jit_emission_time"
16384,16387,True,"-5991473982720122548","COPY ""locks"" (""time"", ""dbname"", ""data"", ""tag_data"") FROM STDIN","0","0","0","0","0","0","24","19.154001","0.114834","2.973334","0.798083375","0.7063752567466538","216","643","93","77","4","0","0","0","0","0","0","12.966782999999998","0","0","0","466","0","84100","0","0","0","0","0","0","0","0"
16384,16387,True,"1492420120991510021","COPY ""backends"" (""time"", ""dbname"", ""data"", ""tag_data"") FROM STDIN","0","0","0","0","0","0","24","11.107374","0.08675","2.079959","0.4628072499999999","0.400310053441522","24","16","36","37","2","0","0","0","0","0","0","5.030754000000001","0","0","0","48","0","15768","0","0","0","0","0","0","0","0"
10,25481,True,"-683272743294003097","select
	s_suppkey,
	s_name,
	s_address,
	s_phone,
	total_revenue
from
	supplier,
	revenue0
where
	s_suppkey = supplier_no
	and total_revenue = (
		select
			max(total_revenue)
		from
			revenue0
	)
order by
	s_suppkey
LIMIT $1","0","0","0","0","0","0","1","12500.036422000001","12500.036422000001","12500.036422000001","12500.036422000001","0","1","32","1124761","0","0","0","0","0","0","13783","22214","5899.060743","0","38.036378","149.832393","0","0","0","41","2.625001","1","39.296374","1","250.353874","1","161.836335"
10,16385,True,"3411497529518106675","SELECT
  (extract($1 from now()) * $2)::int8 as epoch_ns,
  round(cpu_utilization::numeric, $3)::float as cpu_utilization,
  round(load_1m_norm::numeric, $4)::float as load_1m_norm,
  round(load_1m::numeric, $5)::float as load_1m,
  round(load_5m_norm::numeric, $6)::float as load_5m_norm,
  round(load_5m::numeric, $7)::float as load_5m,
  round(""user""::numeric, $8)::float as ""user"",
  round(system::numeric, $9)::float as system,
  round(idle::numeric, $10)::float as idle,
  round(iowait::numeric, $11)::float as iowait,
  round(irqs::numeric, $12)::float as irqs,
  round(other::numeric, $13)::float as other
from
  get_psutil_cpu()","0","0","0","0","0","0","12","7202.108131999999","513.788668","921.6373759999999","600.1756776666666","143.62341051287947","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
16384,16385,True,"-5121105767905558510","select /* pgwatch2_generated */
		  md_unique_name, md_group, md_dbtype, md_hostname, md_port, md_dbname, md_user, coalesce(md_password, $1) as md_password,
		  coalesce(p.pc_config, md_config)::text as md_config, coalesce(s.pc_config, md_config_standby, $2::jsonb)::text as md_config_standby,
		  md_statement_timeout_seconds, md_sslmode, md_is_superuser,
		  coalesce(md_include_pattern, $3) as md_include_pattern, coalesce(md_exclude_pattern, $4) as md_exclude_pattern,
		  coalesce(md_custom_tags::text, $5) as md_custom_tags, md_root_ca_path, md_client_cert_path, md_client_key_path,
		  md_password_type, coalesce(md_host_config, $6)::text as md_host_config, md_only_if_master
		from
		  pgwatch2.monitored_db
	          left join
		  pgwatch2.preset_config p on p.pc_name = md_preset_config_name /* primary preset if any */
	          left join
		  pgwatch2.preset_config s on s.pc_name = md_preset_config_name_standby /* standby preset if any */
		where
		  md_is_enabled","0","0","0","0","0","0","12","9.61754","0.038999","5.015625","0.8014616666666667","1.3039073534031815","12","33","27","0","0","0","0","0","0","0","0","3.254084","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,16385,True,"-6015959107147170013","WITH q_locks AS (
  select
    *
  from
    pg_locks
  where
    pid != pg_backend_pid()
    and database = (select oid from pg_database where datname = current_database())
)
SELECT
  (extract($1 from now()) * $2)::int8 as epoch_ns,
  lockmodes AS tag_lockmode,
  coalesce((select count(*) FROM q_locks WHERE mode = lockmodes), $3) AS count
FROM
  unnest($4::text[]) lockmodes","0","0","0","0","0","0","24","36.53182700000001","0.056332","12.616624","1.5221594583333335","2.4619122655408368","192","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,16385,True,"-6885685155318614505","SELECT
    (extract($1 FROM now()) * $2)::int8 AS epoch_ns,
    *
FROM (
    SELECT
        $3::text AS object_type,
        grantee::text AS tag_role,
        quote_ident(table_schema) || $4 || quote_ident(table_name) AS tag_object,
        privilege_type
    FROM
        information_schema.table_privileges
        /* includes also VIEW-s actually */
    WHERE
        NOT grantee = ANY (
            SELECT
                rolname
            FROM
                pg_roles
            WHERE
                rolsuper
                OR oid < $5)
            AND NOT table_schema IN ($6, $7)
            /*
             union all

             select
             -- quite a heavy query currently, maybe faster directly via pg_attribute + has_column_privilege?
            'column' AS object_type,
            grantee::text AS tag_role,
            quote_ident(table_schema) || '.' || quote_ident(table_name) AS tag_object,
            privilege_type
        FROM
            information_schema.column_privileges cp
        WHERE
            NOT table_schema IN ('pg_catalog', 'information_schema')
            AND NOT grantee = ANY (
                SELECT
                    rolname
                FROM
                    pg_roles
                WHERE
                    rolsuper
                    OR oid < 16384)
                AND NOT EXISTS (
                    SELECT
                        *
                    FROM
                        information_schema.table_privileges
                    WHERE
                        table_schema = cp.table_schema
                        AND table_name = cp.table_name
                        AND grantee = cp.grantee
                        AND privilege_type = cp.privilege_type) */
                UNION ALL
                SELECT
                    $8 AS object_type,
                    grantee::text AS tag_role,
                    quote_ident(routine_schema) || $9 || quote_ident(routine_name) AS tag_object,
                    privilege_type
                FROM
                    information_schema.routine_privileges
                WHERE
                    NOT routine_schema IN ($10, $11)
                    AND NOT grantee = ANY (
                        SELECT
                            rolname
                        FROM
                            pg_roles
                        WHERE
                            rolsuper
                            OR oid < $12)
                    UNION ALL
                    SELECT
                        $13 AS object_type,
                        r.rolname::text AS tag_role,
                        quote_ident(n.nspname) AS tag_object,
                        p.perm AS privilege_type
                    FROM
                        pg_catalog.pg_namespace AS n
                    CROSS JOIN pg_catalog.pg_roles AS r
                    CROSS JOIN (
                        VALUES ($14),
                            ($15)) AS p (perm)
                    WHERE
                        NOT n.nspname IN ($16, $17)
                            AND n.nspname NOT LIKE $18
                            AND NOT r.rolsuper
                            AND r.oid >= $19
                            AND has_schema_privilege(r.oid, n.oid, p.perm)
                        UNION ALL
                        SELECT
                            $20 AS object_type,
                            r.rolname::text AS role_name,
                            quote_ident(datname) AS tag_object,
                            p.perm AS permission
                        FROM
                            pg_catalog.pg_database AS d
                        CROSS JOIN pg_catalog.pg_roles AS r
                        CROSS JOIN (
                            VALUES ($21),
                                ($22),
                                ($23)) AS p (perm)
                        WHERE
                            d.datname = current_database()
                                AND NOT r.rolsuper
                                AND r.oid >= $24
                                AND has_database_privilege(r.oid, d.oid, p.perm)
                            UNION ALL
                            SELECT
                                $25 AS object_type,
                                rolname::text AS role_name,
                                rolname::text AS tag_object,
                                $26 AS permission
                            FROM
                                pg_catalog.pg_roles
                            WHERE
                                rolsuper
                            UNION ALL
                            SELECT
                                $27 AS object_type,
                                rolname::text AS role_name,
                                rolname::text AS tag_object,
                                $28 AS permission
                            FROM
                                pg_catalog.pg_roles
                            WHERE
                                rolcanlogin) y","0","0","0","0","0","0","5","93.526541","10.966292000000001","25.797417","18.7053082","5.830666077296192","385","617","48","0","0","0","0","0","0","0","0","0.292416","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,25481,True,"2626751255145609859","-- using 1687011170 as a seed to the RNG


select
	sum(l_extendedprice) / $1 as avg_yearly
from
	lineitem,
	part,
	(SELECT l_partkey AS agg_partkey, $2 * avg(l_quantity) AS avg_quantity FROM lineitem GROUP BY l_partkey) part_agg
where
	p_partkey = l_partkey
	and agg_partkey = l_partkey
	and p_brand = $3
	and p_container = $4
	and l_quantity < avg_quantity
LIMIT $5","0","0","0","0","0","0","6","117332.146347","18241.144384","21761.600552","19555.357724499998","1069.3142226856924","6","15214","3701486","0","119","0","0","0","0","978990","1846644","14444.005794999997","1.795793","5208.420668999999","10415.474678999999","0","0","0","198","12.615001","6","113.446","6","764.676792","6","524.970324"
10,25481,True,"-9102621307683535516","SET DateStyle=ISO","0","0","0","0","0","0","1","0.674708","0.674708","0.674708","0.674708","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
16384,16386,True,"-3849318333554553288","SELECT id FROM org","0","0","0","0","0","0","24","14.64738","0.026125000000000002","4.303083","0.6103074999999999","1.1028342537999156","24","7","17","0","0","0","0","0","0","0","0","9.361208999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
16384,16386,True,"8713024478130432060","SELECT ""id"", ""org_id"", ""namespace"", ""key"", ""value"", ""created"", ""updated"" FROM ""kv_store"" WHERE ""org_id""=$1 AND ""namespace""=$2 AND ""key""=$3 LIMIT $4","0","0","0","0","0","0","2","3.794707","1.655833","2.138874","1.8973535","0.24152049999999997","2","2","2","0","0","0","0","0","0","0","0","0.443084","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,25481,True,"905976906289400631","SET client_min_messages=notice","0","0","0","0","0","0","1","0.015417","0.015417","0.015417","0.015417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
16384,16386,True,"7377167939404911163","DELETE FROM dashboard_snapshot WHERE expires < $1","0","0","0","0","0","0","2","0.680625","0.23708400000000002","0.44354099999999996","0.3403125","0.10322849999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,25481,True,"6918813626601998185","-- using 1687011171 as a seed to the RNG


select
	s_name,
	s_address
from
	supplier,
	nation
where
	s_suppkey in (
		select
			ps_suppkey
		from
			partsupp,
			(
				select
					l_partkey agg_partkey,
					l_suppkey agg_suppkey,
					$1 * sum(l_quantity) AS agg_quantity
				from
					lineitem
				where
					l_shipdate >= date $2
					and l_shipdate < date $3 + interval $4 year
				group by
					l_partkey,
					l_suppkey
			) agg_lineitem
		where
			agg_partkey = ps_partkey
			and agg_suppkey = ps_suppkey
			and ps_partkey in (
				select
					p_partkey
				from
					part
				where
					p_name like $5
			)
			and ps_availqty > agg_quantity
	)
	and s_nationkey = n_nationkey
	and n_name = $6
order by
	s_name
LIMIT $7","0","0","0","0","0","0","6","55675.016234","8060.159254","10710.256255","9279.169372333334","1056.3369882186043","6","610542","3622572","0","26","0","0","0","0","231342","232428","14348.360652","0.6022909999999999","484.155756","855.2308259999999","0","0","0","258","7.566756","6","68.87645900000001","6","893.449084","6","625.9278780000001"
16384,16387,True,"3694949039461716331","COMMIT","0","0","0","0","0","0","93","0.19282899999999986","0.000583","0.037625","0.0020734301075268813","0.004070331106971995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,16385,True,"8796470509492364351","select
  (extract($1 from now()) * $2)::int8 as epoch_ns,
  numbackends,
  xact_commit,
  xact_rollback,
  blks_read,
  blks_hit,
  tup_returned,
  tup_fetched,
  tup_inserted,
  tup_updated,
  tup_deleted,
  conflicts,
  temp_files,
  temp_bytes,
  deadlocks,
  blk_read_time,
  blk_write_time,
  extract($3 from (now() - coalesce((pg_stat_file($4, $5)).modification, pg_postmaster_start_time())))::int8 as postmaster_uptime_s,
  checksum_failures,
  extract($6 from (now() - checksum_last_failure))::int8 as checksum_last_failure_s,
  case when pg_is_in_recovery() then $7 else $8 end as in_recovery_int,
  system_identifier::text as tag_sys_id,
  session_time::int8,
  active_time::int8,
  idle_in_transaction_time::int8,
  sessions,
  sessions_abandoned,
  sessions_fatal,
  sessions_killed
from
  pg_stat_database, pg_control_system()
where
  datname = current_database()","0","0","0","0","0","0","24","200.40295999999998","0.186583","16.152832999999998","8.35012333333333","4.788925136405651","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
16384,16386,True,"3694949039461716331","COMMIT","0","0","0","0","0","0","14","0.05737400000000001","0.000458","0.022208","0.004098142857142857","0.0063529697201628555","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,25481,True,"-3200963977824915130","SELECT oid, pg_catalog.format_type(oid, $2) AS typname FROM pg_catalog.pg_type WHERE oid = ANY($1) ORDER BY oid","0","0","0","0","0","0","1","0.038999","0.038999","0.038999","0.038999","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,25481,True,"6268624730280792423","select
	s_suppkey,
	s_name,
	s_address,
	s_phone,
	total_revenue
from
	supplier,
	revenue0
where
	s_suppkey = supplier_no
	and total_revenue = (
		select
			max(total_revenue)
		from
			revenue0
	)
order by
	s_suppkey
LIMIT $1","0","0","0","0","0","0","1","7782.941129","7782.941129","7782.941129","7782.941129","0","1","32","1124761","0","0","0","0","0","0","13783","22214","2029.966771","0","21.131229","101.023958","0","0","0","41","3.091747","1","35.008084","1","244.031916","1","161.564043"
10,25481,True,"-1086153583272167779","-- using 1687011167 as a seed to the RNG


select
	l_returnflag,
	l_linestatus,
	sum(l_quantity) as sum_qty,
	sum(l_extendedprice) as sum_base_price,
	sum(l_extendedprice * ($1 - l_discount)) as sum_disc_price,
	sum(l_extendedprice * ($2 - l_discount) * ($3 + l_tax)) as sum_charge,
	avg(l_quantity) as avg_qty,
	avg(l_extendedprice) as avg_price,
	avg(l_discount) as avg_disc,
	count(*) as count_order
from
	lineitem
where
	l_shipdate <= date $4 - interval $5 day
group by
	l_returnflag,
	l_linestatus
order by
	l_returnflag,
	l_linestatus
LIMIT $6","0","0","0","0","0","0","6","141890.81535699998","21997.114552","25979.702097","23648.469226166668","1426.0040365382265","6","192","3374178","0","0","0","0","0","0","0","0","13253.167598999999","0","0","0","0","0","0","78","9.776917","6","58.803083","6","715.19925","6","552.807088"
10,16385,True,"3780966001651565908","select
  (extract($1 from now()) * $2)::int8 as epoch_ns,
  name as tag_setting,
  coalesce(reset_val, $3) as value
from
  pg_settings","0","0","0","0","0","0","5","38.66046","4.355376000000001","13.729125","7.732092000000001","3.2042802113839546","1830","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
16384,16387,True,"-4343704713281312290","COPY ""kpi"" (""time"", ""dbname"", ""data"", ""tag_data"") FROM STDIN","0","0","0","0","0","0","12","6.47225","0.121042","2.119541","0.5393541666666668","0.5379609656162848","12","6","20","18","1","0","0","0","0","0","0","2.9172910000000005","0","0","0","24","0","8734","0","0","0","0","0","0","0","0"
10,16385,True,"-3563701332022565493","select /* pgwatch2_generated */
  (extract($1 from now()) * $2)::int8 as epoch_ns,
  count(*) as total,
  count(*) FILTER (WHERE ssl) as ""on"",
  count(*) FILTER (WHERE NOT ssl) as ""off""
FROM
  pg_stat_ssl AS s,
  pg_stat_activity AS a
WHERE
  a.pid = s.pid
  AND a.datname = current_database()
  AND a.pid <> pg_backend_pid()
  AND NOT (a.client_addr = $3 OR client_port = $4)","0","0","0","0","0","0","12","37.579125999999995","0.145125","8.199334","3.131593833333333","3.3037636277185407","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,25481,True,"1690194758776331229","select
	s_suppkey,
	s_name,
	s_address,
	s_phone,
	total_revenue
from
	supplier,
	revenue0
where
	s_suppkey = supplier_no
	and total_revenue = (
		select
			max(total_revenue)
		from
			revenue0
	)
order by
	s_suppkey
LIMIT $1","0","0","0","0","0","0","1","7706.52442","7706.52442","7706.52442","7706.52442","0","1","32","1124761","0","0","0","0","0","0","13783","22214","2049.639527","0","31.947561","105.738544","0","0","0","41","2.817706","1","33.662041","1","237.062583","1","164.443498"
16384,16387,True,"-4562388769731358341","COPY ""psutil_disk_io_total"" (""time"", ""dbname"", ""data"", ""tag_data"") FROM STDIN","0","0","0","0","0","0","12","6.030625","0.094625","1.420167","0.5025520833333333","0.3651771635670962","12","6","18","18","0","0","0","0","0","0","0","2.761918","0","0","0","24","0","3264","0","0","0","0","0","0","0","0"
10,16385,True,"-1853949712389859857","select
    (extract($1 from now()) * $2)::int8 as epoch_ns,
    $3::int as is_up","0","0","0","0","0","0","24","92.08362299999999","0.004001","26.426208","3.836817624999999","5.7548091841177405","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,16385,True,"-9162494700678824640","with sa_snapshot as (
  select * from pg_stat_activity
  where pid != pg_backend_pid()
  and datname = current_database()
)
select
  (extract($1 from now()) * $2)::int8 as epoch_ns,
  (select count(*) from sa_snapshot where backend_type = $3) as total,
  (select count(*) from pg_stat_activity where pid != pg_backend_pid()) as instance_total,
  current_setting($4)::int as max_connections,
  (select count(*) from sa_snapshot where backend_type = $5) as background_workers,
  (select count(*) from sa_snapshot where state = $6 and backend_type = $7) as active,
  (select count(*) from sa_snapshot where state = $8 and backend_type = $9) as idle,
  (select count(*) from sa_snapshot where state = $10 and backend_type = $11) as idleintransaction,
  (select count(*) from sa_snapshot where wait_event_type in ($12, $13, $14) and backend_type = $15) as waiting,
  (select coalesce(sum(case when coalesce(array_length(pg_blocking_pids(pid), $16), $17) >= $18 then $19 else $20 end), $21) from sa_snapshot where backend_type = $22 and state = $23) as blocked,
  (select ceil(extract($24 from max(now() - query_start)))::int from sa_snapshot where wait_event_type in ($25, $26, $27) and backend_type = $28) as longest_waiting_seconds,
  (select round(avg(abs(extract($29 from now() - query_start)))::numeric, $30)::float from sa_snapshot where wait_event_type in ($31, $32, $33) and backend_type = $34) as avg_waiting_seconds,
  (select ceil(extract($35 from (now() - backend_start)))::int from sa_snapshot where backend_type = $36 order by backend_start limit $37) as longest_session_seconds,
  (select round(avg(abs(extract($38 from now() - backend_start)))::numeric, $39)::float from sa_snapshot where backend_type = $40) as avg_session_seconds,
  (select ceil(extract($41 from (now() - xact_start)))::int from sa_snapshot where xact_start is not null and backend_type = $42 order by xact_start limit $43) as longest_tx_seconds,
  (select round(avg(abs(extract($44 from now() - xact_start)))::numeric, $45)::float from sa_snapshot where xact_start is not null and backend_type = $46) as avg_tx_seconds,
  (select ceil(extract($47 from (now() - xact_start)))::int from sa_snapshot where backend_type = $48 order by xact_start limit $49) as longest_autovacuum_seconds,
  (select ceil(extract($50 from max(now() - query_start)))::int from sa_snapshot where state = $51 and backend_type = $52) as longest_query_seconds,
  (select round(avg(abs(extract($53 from now() - query_start)))::numeric, $54)::float from sa_snapshot where state = $55 and backend_type = $56) as avg_query_seconds,
  (select max(age(backend_xmin))::int8 from sa_snapshot) as max_xmin_age_tx,
  (select count(*) from sa_snapshot where state = $57 and backend_type = $58) as av_workers","0","0","0","0","0","0","24","265.58879","1.0423749999999998","33.323167","11.066199583333331","8.913021477610473","24","173","5","0","0","0","0","0","0","0","0","0.050041","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,16385,True,"-7332114557335485020","WITH q_stat_tables AS (
  SELECT * FROM pg_stat_user_tables t
  JOIN pg_class c ON c.oid = t.relid
  WHERE NOT schemaname LIKE $1
  AND c.relpages > ($2 / $3)    -- >10MB
),
q_stat_activity AS (
    SELECT * FROM pg_stat_activity
    WHERE datname = current_database() AND pid != pg_backend_pid()
)
SELECT
  (extract($4 from now()) * $5)::int8 as epoch_ns,
  case
      when pg_is_in_recovery() = $6 then
          pg_wal_lsn_diff(pg_current_wal_lsn(), $7)::int8
      else
          pg_wal_lsn_diff(pg_last_wal_replay_lsn(), $8)::int8
      end as wal_location_b,
  numbackends - $9 as numbackends,
  (select count(*) from q_stat_activity where state in ($10, $11)) AS active_backends,
  (select count(*) from q_stat_activity where wait_event_type in ($12, $13, $14)) AS blocked_backends,
  (select round(extract($15 from now()) - extract($16 from (select xact_start from q_stat_activity
    where datid = d.datid and not query like $17 order by xact_start limit $18))))::int AS kpi_oldest_tx_s,
  xact_commit + xact_rollback AS tps,
  xact_commit,
  xact_rollback,
  blks_read,
  blks_hit,
  temp_bytes,
  (select sum(seq_scan) from q_stat_tables)::int8 AS seq_scans_on_tbls_gt_10mb,
  tup_inserted,
  tup_updated,
  tup_deleted,
  (select sum(calls) from pg_stat_user_functions where not schemaname like any(array[$19, $20]))::int8 AS sproc_calls,
  blk_read_time,
  blk_write_time,
  deadlocks,
  case when pg_is_in_recovery() then $21 else $22 end as in_recovery_int,
  extract($23 from (now() - pg_postmaster_start_time()))::int8 as postmaster_uptime_s
FROM
  pg_stat_database d
WHERE
  datname = current_database()","0","0","0","0","0","0","12","229.077162","1.57375","54.966376","19.089763499999997","16.255951325458675","12","969","501","0","0","0","0","0","0","0","0","57.934073000000005","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,16385,True,"4078808272632536829","SELECT
  (extract($1 from now()) * $2)::int8 as epoch_ns,
  dir_or_tablespace as tag_dir_or_tablespace,
  path as tag_path,
  total, used, free, percent
from
  get_psutil_disk()","0","0","0","0","0","0","12","2255.0971680000002","9.457","497.374792","187.92476399999998","188.48821130101786","24","1338","61","0","0","0","0","0","0","0","0","44.776919","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
16384,16387,True,"-4824836583136674934","COPY ""table_io_stats"" (""time"", ""dbname"", ""data"", ""tag_data"") FROM STDIN","0","0","0","0","0","0","2","5.4682509999999995","1.622167","3.846084","2.7341254999999998","1.1119585","8","107","19","11","0","0","0","0","0","0","0","2.936669","0","0","0","18","3","7778","0","0","0","0","0","0","0","0"
10,25481,True,"-8440239552580866290","SELECT
             gss_authenticated, encrypted
        FROM
            pg_catalog.pg_stat_gssapi
        WHERE pid = pg_backend_pid()","0","0","0","0","0","0","1","1.026624","1.026624","1.026624","1.026624","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,25481,True,"-8623419497723448577","-- using 1687011170 as a seed to the RNG

create view revenue0 (supplier_no, total_revenue) as
	select
		l_suppkey,
		sum(l_extendedprice * (1 - l_discount))
	from
		lineitem
	where
		l_shipdate >= date '1997-05-01'
		and l_shipdate < date '1997-05-01' + interval '3' month
	group by
		l_suppkey","0","0","0","0","0","0","6","145.542293","20.87775","34.306542","24.257048833333336","4.6655439068760405","0","894","397","129","3","0","0","0","0","0","0","55.55842400000001","0","0","0","272","23","82884","0","0","0","0","0","0","0","0"
10,25481,True,"2397681704071010949","BEGIN","0","0","0","0","0","0","6","1.024917","0.163333","0.178541","0.1708195","0.005037630023135874","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
